name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
Adam Rodgers Park,1080250236324111795,restroom,0,0,0,0,37.73087893,-122.38372074,rec,POINT (-122.38372074 37.73087893),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,146,86,2,9
Myrtle and Larkin streets (JCDecaux),2036881255296904282,restroom,0,0,0,0,37.7855716,-122.4180901,pit_stop,POINT (-122.4180901 37.7855716),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,113,20,5,10
Alice Chalmers Playground,3141016569795048395,drinking_water,1,0,0,0,37.70975093,-122.44677245,rec,POINT (-122.44677245 37.70975093),11,Excelsior,2023-03-08,2023-03-08T15:29:00Z,7,68,58,9,1
Raymond Kimball Playground,4398727798151847140,drinking_water,1,0,0,0,37.78248303,-122.43557489,rec,POINT (-122.43557489 37.78248303),5,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39,123,97,4,11
Telegraph Hill - Pioneer Park,4319864457267319582,drinking_water,1,0,0,0,37.80226523,-122.40593129,rec,POINT (-122.40593129 37.80226523),3,North Beach,2023-03-08,2023-03-08T15:29:00Z,23,227,18,6,3
Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72924873,-122.40980624,rec,POINT (-122.40980624 37.72924873),9,Portola,2023-03-08,2023-03-08T15:29:00Z,25,130,91,2,2
Pier 7,8096256367090940691,drinking_water,1,1,0,0,37.79897,-122.39703,port,POINT (-122.39703 37.79897),3,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,,77,6,3
Golden Gate Park - Section 4,6170016268480192283,restroom,0,0,0,0,37.76637374,-122.47668262,rec,POINT (-122.47668262 37.76637374),7,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,232,9,8,4
John McLaren Park,4276690586920497721,restroom,0,0,0,0,37.71412965,-122.42327793,rec,POINT (-122.42327793 37.71412965),10,McLaren Park,2023-03-08,2023-03-08T15:29:00Z,19,7,73,9,9
Grattan Playground,1042787867992739246,drinking_water,1,0,0,0,37.76261499,-122.45168928,rec,POINT (-122.45168928 37.76261499),8,Haight Ashbury,2023-03-08,2023-03-08T15:29:00Z,3,172,114,7,11
Duboce Park,8886716724462518672,drinking_water,1,0,0,0,37.76940827,-122.43347772,rec,POINT (-122.43347772 37.76940827),8,Haight Ashbury,2023-03-08,2023-03-08T15:29:00Z,3,159,28,7,5
Margaret S.Hayward Playground,6183247756522780021,restroom,0,0,0,0,37.78074365,-122.42668916,rec,POINT (-122.42668916 37.78074365),5,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39,140,100,4,11
Patricia's Green in Hayes Valley,3361452970464656774,drinking_water,1,0,0,0,37.77594165,-122.42444106,rec,POINT (-122.42444106 37.77594165),5,Hayes Valley,2023-03-08,2023-03-08T15:29:00Z,9,189,22,4,11
Yacht Harbor and Marina Green,7761910724686902864,restroom,0,0,0,0,37.80664933,-122.44254125,rec,POINT (-122.44254125 37.80664933),,Marina,2023-03-08,2023-03-08T15:29:00Z,13,90,17,4,6
Carl Larsen Park,3819247075119379493,restroom,0,0,0,0,37.73945885,-122.47604415,rec,POINT (-122.47604415 37.73945885),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,154,40,10,7
Mission Rec Center,6090540971816192510,drinking_water,1,0,0,0,37.75812351,-122.4130488,rec,POINT (-122.4130488 37.75812351),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,215,53,3,2
Hallidie Plaza (JCDecaux),6069116949746546373,restroom,0,0,0,0,37.7844142,-122.4077797,pit_stop,POINT (-122.4077797 37.7844142),3,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,19,5,3
3rd and Clement,2353041988599802789,drinking_water,0,1,0,0,37.783196,-122.461368,puc,POINT (-122.461368 37.783196),1,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11,,5,8,4
Judah and La Playa streets (Rec Park),908664278546294335,restroom,0,0,0,0,37.7603081,-122.5091618,pit_stop,POINT (-122.5091618 37.7603081),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,,39,10,7
Balboa Park,5104072779848174871,drinking_water,1,0,0,0,37.72581815,-122.44332779,rec,POINT (-122.44332779 37.72581815),11,Outer Mission,2023-03-08,2023-03-08T15:29:00Z,28,76,94,9,1
Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76735036,-122.50799499,rec,POINT (-122.50799499 37.76735036),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
Heron's Head Park,797741572696973161,drinking_water,1,1,0,1,37.740119,-122.37597,port,POINT (-122.37597 37.740119),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,,56,2,9
Mountain Lake Park,4251616439565783958,drinking_water,1,0,0,0,37.78696666,-122.46791833,rec,POINT (-122.46791833 37.78696666),1,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11,134,4,,6
Lafayette Park,93632238906721509,drinking_water,1,0,0,0,37.79130919,-122.42860641,rec,POINT (-122.42860641 37.79130919),2,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,212,102,4,6
Hayes Valley Playground,8715421085735745893,drinking_water,1,0,0,0,37.77606455,-122.42739973,rec,POINT (-122.42739973 37.77606455),5,Hayes Valley,2023-03-08,2023-03-08T15:29:00Z,9,174,22,4,11
Sgt. John Macaulay Park,1782788959639092500,drinking_water,1,0,0,0,37.78538204,-122.41823489,rec,POINT (-122.41823489 37.78538204),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,113,20,5,10
