name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
Angelo J. Rossi Playground,2207155170251026602,restroom,0,0,0,0,37.77798344,-122.45765905,rec,POINT (-122.45765905 37.77798344),1,Lone Mountain/USF,2023-03-08,2023-03-08T15:29:00Z,18,204,12,8,4
Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.77162903,-122.49512297,rec,POINT (-122.49512297 37.77162903),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,233,9,8,4
24th & Mission,2599759550272697651,drinking_water,0,1,1,0,37.752333,-122.418141,puc,POINT (-122.418141 37.752333),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Margaret S.Hayward Playground,6183247756522780021,drinking_water,1,0,0,0,37.78078047,-122.42680235,rec,POINT (-122.42680235 37.78078047),5,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39,140,100,4,11
Palace of Fine Arts,6271010963659229503,drinking_water,1,0,0,0,37.80168236,-122.44789925,rec,POINT (-122.44789925 37.80168236),2,Marina,2023-03-08,2023-03-08T15:29:00Z,13,21,17,4,6
Parque Ninos Unidos,1084870256219315580,drinking_water,1,0,0,0,37.75438525,-122.41380597,rec,POINT (-122.41380597 37.75438525),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,129,53,3,2
Willie Woo Woo Wong Playground,3627932914298100031,drinking_water,1,0,0,0,37.79361887,-122.40704916,rec,POINT (-122.40704916 37.79361887),3,Chinatown,2023-03-08,2023-03-08T15:29:00Z,6,92,104,6,3
Margaret S.Hayward Playground,6183247756522780021,drinking_water,1,0,0,0,37.78071968,-122.42685193,rec,POINT (-122.42685193 37.78071968),5,Western Addition,2023-03-08,2023-03-08T15:29:00Z,39,140,100,4,11
Lessing & Sears Mini Park,5345415778062975156,drinking_water,1,0,0,0,37.70862863,-122.45543913,rec,POINT (-122.45543913 37.70862863),11,Outer Mission,2023-03-08,2023-03-08T15:29:00Z,28,35,66,9,1
Alta Plaza Park,2241215992070893956,restroom,0,0,0,0,37.79124135,-122.43815491,rec,POINT (-122.43815491 37.79124135),2,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,149,102,4,6
Great Highway near Beach Chalet,5905501385590634738,restroom,0,0,0,0,37.7675953,-122.5107794,pit_stop,POINT (-122.5107794 37.7675953),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,20,9,8,4
Washington Square,5386547074523041759,drinking_water,1,0,0,0,37.80051842,-122.40977497,rec,POINT (-122.40977497 37.80051842),3,North Beach,2023-03-08,2023-03-08T15:29:00Z,23,94,106,6,3
Mountain Lake Park,4251616439565783958,restroom,0,0,0,0,37.78697325,-122.47175634,rec,POINT (-122.47175634 37.78697325),1,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11,134,4,,6
Douglass Playground,5578072315167653993,drinking_water,1,0,0,0,37.74791286,-122.43838861,rec,POINT (-122.43838861 37.74791286),8,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22,206,57,3,5
6th and Natoma streets,6802133843988071090,restroom,0,0,0,0,37.780182,-122.4077046,pit_stop,POINT (-122.4077046 37.780182),6,South of Market,2023-03-08,2023-03-08T15:29:00Z,34,,32,1,10
Cabrillo Playground,1438954292253289309,drinking_water,1,0,0,0,37.77296905,-122.49899506,rec,POINT (-122.49899506 37.77296905),1,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29,81,8,8,4
Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.76624071,-122.45577565,rec,POINT (-122.45577565 37.76624071),5,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,229,9,7,11
