,name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
39,Eddy St. and Jones St.,5781725755408126527,restroom,0,0,0,0,37.7841238,-122.4122697,pit_stop,POINT (-122.4122697 37.7841238),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,162.0,20.0,5.0,10.0
40,Golden Gate Park - Section 3,4964708923013958658,restroom,0,0,0,0,37.77259668,-122.46077554,rec,POINT (-122.46077554 37.77259668),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,231.0,9.0,7.0,4.0
41,Merced Heights Playground,5714191605765301439,drinking_water,1,0,0,0,37.71766522,-122.4700903,rec,POINT (-122.4700903 37.71766522),11.0,Oceanview/Merced/Ingleside,2023-03-08,2023-03-08T15:29:00Z,24.0,138.0,65.0,10.0,1.0
42,Glide Memorial,5163727995885862566,drinking_water,0,1,1,0,37.78512,-122.411443,puc,POINT (-122.411443 37.78512),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,,20.0,5.0,10.0
43,Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72927918,-122.40968938,rec,POINT (-122.40968938 37.72927918),9.0,Portola,2023-03-08,2023-03-08T15:29:00Z,25.0,130.0,91.0,2.0,2.0
44,Upper Noe Rec Center,3743241463504969307,drinking_water,1,0,0,0,37.74272463,-122.42700808,rec,POINT (-122.42700808 37.74272463),8.0,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22.0,100.0,84.0,9.0,5.0
45,Corona Heights Park,4514408095122533218,drinking_water,1,0,0,0,37.7653027,-122.44026421,rec,POINT (-122.44026421 37.7653027),8.0,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5.0,202.0,113.0,7.0,5.0
46,Glen Canyon Park,2107234989712530644,drinking_water,1,0,0,0,37.73663137,-122.44060334,rec,POINT (-122.44060334 37.73663137),8.0,Glen Park,2023-03-08,2023-03-08T15:29:00Z,10.0,239.0,96.0,9.0,5.0
47,Douglass Playground,5578072315167653993,restroom,0,0,0,0,37.74627823,-122.43966856,rec,POINT (-122.43966856 37.74627823),8.0,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22.0,206.0,57.0,3.0,5.0
48,,8817975702393619368,drinking_water,1,0,0,0,37.78658959,-122.39430126,rec,POINT (-122.39430126 37.78658959),6.0,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8.0,,30.0,1.0,10.0
49,Holly Park,8335222720363753276,restroom,0,0,0,0,37.73711767,-122.42057325,rec,POINT (-122.42057325 37.73711767),9.0,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2.0,47.0,61.0,9.0,2.0
50,Minnie and Lovie Rec Center,6941931346616109343,drinking_water,1,0,0,0,37.71510852,-122.45622907,rec,POINT (-122.45622907 37.71510852),11.0,Oceanview/Merced/Ingleside,2023-03-08,2023-03-08T15:29:00Z,24.0,89.0,81.0,10.0,1.0
51,388 Ellis St.   Tenderloin Pit Stop Daily,4343160334641664872,restroom,0,0,0,0,37.7850978,-122.4125547,pit_stop,POINT (-122.4125547 37.7850978),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,,20.0,5.0,10.0
52,Cottage Row Mini Park,6381947528447111567,drinking_water,1,0,0,0,37.78640627,-122.43225925,rec,POINT (-122.43225925 37.78640627),5.0,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30.0,157.0,101.0,4.0,11.0
53,South Sunset Playground,1587063322310935668,drinking_water,1,0,0,0,37.7379974,-122.49832049,rec,POINT (-122.49832049 37.7379974),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,110.0,40.0,10.0,7.0
54,Shanti Project,2426436033216087414,drinking_water,0,1,1,0,37.783718,-122.419224,puc,POINT (-122.419224 37.783718),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,,20.0,4.0,10.0
55,Mendell Plaza   Bayview Pit Stop Daily,897319470345964542,restroom,0,0,0,0,37.7340389,-122.3908134,pit_stop,POINT (-122.3908134 37.7340389),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,,86.0,2.0,9.0
56,Golden Gate Park - Section 6,8799521284584025481,restroom,0,0,0,0,37.7679705,-122.50180555,rec,POINT (-122.50180555 37.7679705),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,234.0,9.0,8.0,4.0
57,Tenderloin Recreation Center,206870895537627156,drinking_water,1,0,0,0,37.7847946,-122.41546384,rec,POINT (-122.41546384 37.7847946),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,103.0,20.0,5.0,10.0
58,Hilltop Park,5266853380894405697,drinking_water,0,1,1,0,37.73328,-122.38366,puc,POINT (-122.38366 37.73328),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,,86.0,2.0,9.0
59,Golden Gate Park - Section 4,6170016268480192283,drinking_water,1,0,0,0,37.77201183,-122.47113451,rec,POINT (-122.47113451 37.77201183),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,232.0,9.0,8.0,4.0
60,Glen Canyon Park,2107234989712530644,drinking_water,1,0,0,0,37.73654768,-122.44077523,rec,POINT (-122.44077523 37.73654768),8.0,Glen Park,2023-03-08,2023-03-08T15:29:00Z,10.0,239.0,96.0,9.0,5.0
61,Earl’s Organic,5106290751104947072,drinking_water,0,1,1,0,37.744233,-122.398524,puc,POINT (-122.398524 37.744233),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,,85.0,2.0,9.0
62,Eureka Valley Rec Center,5072124464803258922,drinking_water,1,0,0,0,37.75991077,-122.4362795,rec,POINT (-122.4362795 37.75991077),8.0,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5.0,208.0,38.0,3.0,5.0
63,Presidio Heights Playground,5271140156822696650,drinking_water,1,0,0,0,37.78852676,-122.44978261,rec,POINT (-122.44978261 37.78852676),2.0,Presidio Heights,2023-03-08,2023-03-08T15:29:00Z,31.0,125.0,10.0,8.0,6.0
64,Golden Gate Park - Section 1,6809243918520221532,drinking_water,1,0,0,0,37.77273326,-122.45793152,rec,POINT (-122.45793152 37.77273326),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,229.0,9.0,7.0,4.0
65,Francisco Park,7566119450437207717,restroom,0,0,0,0,37.80356263,-122.42126977,rec,POINT (-122.42126977 37.80356263),2.0,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32.0,193.0,107.0,6.0,6.0
66,Mission Playground,4376923903940484698,drinking_water,1,0,0,0,37.75959003,-122.42272716,rec,POINT (-122.42272716 37.75959003),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,214.0,37.0,3.0,5.0
67,Joseph L. Alioto Performing Arts Piazza,1121675889758828519,drinking_water,1,0,0,0,37.77916054,-122.41720821,rec,POINT (-122.41720821 37.77916054),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,57.0,21.0,4.0,10.0
68,Lafayette Park,93632238906721509,drinking_water,1,0,0,0,37.79100922,-122.42733069,rec,POINT (-122.42733069 37.79100922),2.0,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30.0,212.0,102.0,4.0,6.0
69,Potrero Hill Rec Center,914116007433839616,drinking_water,1,0,0,0,37.75609116,-122.39682454,rec,POINT (-122.39682454 37.75609116),10.0,Potrero Hill,2023-03-08,2023-03-08T15:29:00Z,26.0,64.0,54.0,2.0,9.0
70,U.N. Plaza (JCDecaux)   Mid Market Pit Stop Daily,2769713894485467610,restroom,0,0,0,0,37.7801432,-122.4130822,pit_stop,POINT (-122.4130822 37.7801432),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,,21.0,5.0,10.0
71,3100 26th Street,2016930850356890330,restroom,0,0,0,0,37.749447,-122.4116183,pit_stop,POINT (-122.4116183 37.749447),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,53.0,3.0,2.0
72,The Ferry Building,6345506553776018279,drinking_water,1,1,0,0,37.79542,-122.39363,port,POINT (-122.39363 37.79542),3.0,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8.0,,108.0,6.0,3.0
73,Crocker Amazon Playground,2435568120723313055,drinking_water,1,0,0,0,37.713786,-122.42992586,rec,POINT (-122.42992586 37.713786),11.0,Excelsior,2023-03-08,2023-03-08T15:29:00Z,7.0,158.0,58.0,9.0,1.0
74,Golden Gate Heights Park,5847093041834995725,drinking_water,1,0,0,0,37.75014094,-122.46852366,rec,POINT (-122.46852366 37.75014094),7.0,Inner Sunset,2023-03-08,2023-03-08T15:29:00Z,14.0,48.0,44.0,10.0,8.0
75,Hilltop Park,5266853380894405697,restroom,0,0,0,0,37.73306554,-122.38256487,rec,POINT (-122.38256487 37.73306554),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,120.0,86.0,2.0,9.0
76,Sunnyside Conservatory,6526956823029595609,drinking_water,1,0,0,0,37.73193324,-122.44072734,rec,POINT (-122.44072734 37.73193324),7.0,West of Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,41.0,106.0,95.0,9.0,8.0
77,Portsmouth Square,6740425421970699303,drinking_water,1,0,0,0,37.79507948,-122.40537145,rec,POINT (-122.40537145 37.79507948),3.0,Chinatown,2023-03-08,2023-03-08T15:29:00Z,6.0,127.0,104.0,6.0,3.0
78,St. Mary's Rec Center,2831681459449739072,drinking_water,1,0,0,0,37.73294241,-122.42103915,rec,POINT (-122.42103915 37.73294241),9.0,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2.0,109.0,93.0,9.0,2.0
79,Golden Gate Park - Section 7,7708155196457707211,restroom,0,0,0,0,37.76818302,-122.45891024,rec,POINT (-122.45891024 37.76818302),7.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,228.0,9.0,7.0,11.0
80,Balboa Park,5104072779848174871,restroom,0,0,0,0,37.7251441,-122.44551726,rec,POINT (-122.44551726 37.7251441),11.0,Outer Mission,2023-03-08,2023-03-08T15:29:00Z,28.0,76.0,94.0,9.0,1.0
